name: Cisco-IOS-XR-fib-common-oper:mpls-forwarding/nodes/node/label-fib/forwarding-details/forwarding-detail
time                     source label_value label_information/outgoing_label label_information/outgoing_physical_interface label_information/tx_bytes
2021-03-18T20:51:16.862Z R02    100103      1048580                          Gi0/0/0/2                                     6332402
2021-03-18T20:51:46.848Z R02    100103      1048580                          Gi0/0/0/2                                     6378525
2021-03-18T20:51:46.906Z R02    100103      1048580                          Gi0/0/0/2                                     6378525
2021-03-18T20:52:16.874Z R02    100103      1048580                          Gi0/0/0/2                                     6428673
2021-03-18T20:52:16.953Z R02    100103      1048580                          Gi0/0/0/2                                     6428673
2021-03-18T20:52:46.831Z R02    100103      1048580                          Gi0/0/0/2                                     6478467
2021-03-18T20:52:46.885Z R02    100103      1048580                          Gi0/0/0/2                                     6478467
2021-03-18T20:53:16.844Z R02    100103      1048580                          Gi0/0/0/2                                     6532647
2021-03-18T20:53:16.902Z R02    100103      1048580                          Gi0/0/0/2                                     6532647
2021-03-18T20:53:46.831Z R02    100103      1048580                          Gi0/0/0/2                                     6582844
2021-03-18T20:53:46.888Z R02    100103      1048580                          Gi0/0/0/2                                     6582844
2021-03-18T20:54:16.825Z R02    100103      1048580                          Gi0/0/0/2                                     6636814
2021-03-18T20:54:16.885Z R02    100103      1048580                          Gi0/0/0/2                                     6636814
2021-03-18T20:54:46.85Z  R02    100103      1048580                          Gi0/0/0/2                                     6691337
2021-03-18T20:54:46.911Z R02    100103      1048580                          Gi0/0/0/2                                     6691337
2021-03-18T20:55:16.825Z R02    100103      1048580                          Gi0/0/0/2                                     6743963
2021-03-18T20:55:16.883Z R02    100103      1048580                          Gi0/0/0/2                                     6743963
2021-03-18T20:55:46.859Z R02    100103      1048580                          Gi0/0/0/2                                     6801552
2021-03-18T20:55:46.921Z R02    100103      1048580                          Gi0/0/0/2                                     6801552
2021-03-18T20:56:16.902Z R02    100103      1048580                          Gi0/0/0/2                                     6856194
2021-03-18T20:56:16.983Z R02    100103      1048580                          Gi0/0/0/2                                     6856194
2021-03-18T20:56:46.837Z R02    100103      1048580                          Gi0/0/0/2                                     6911935
2021-03-18T20:56:46.895Z R02    100103      1048580                          Gi0/0/0/2                                     6911935
2021-03-18T20:57:16.842Z R02    100103      1048580                          Gi0/0/0/2                                     6967375
2021-03-18T20:57:16.908Z R02    100103      1048580                          Gi0/0/0/2                                     6967375
2021-03-18T20:57:46.833Z R02    100103      1048580                          Gi0/0/0/2                                     7022948
2021-03-18T20:57:46.909Z R02    100103      1048580                          Gi0/0/0/2                                     7022948
2021-03-18T20:58:16.864Z R02    100103      1048580                          Gi0/0/0/2                                     7076120
2021-03-18T20:58:16.923Z R02    100103      1048580                          Gi0/0/0/2                                     7076120
2021-03-18T20:58:46.844Z R02    100103      1048580                          Gi0/0/0/2                                     7131483
